agent-type,agent-id,triadstack,tick
basic-agents,B-ID-66,[[Oil -1 TS-B-ID-66-T-ID-1] [Trade 2 TS-B-ID-66-T-ID-2] [Persec 1.3 TS-B-ID-66-T-ID-3] [Oil 1 TS-B-ID-66-T-ID-4] [Oil -2 TS-B-ID-66-T-ID-5] [Oil -1.5 TS-B-ID-66-T-ID-6]],0
basic-agents,B-ID-67,[[Oil -1 TS-B-ID-67-T-ID-1] [Trade 2 TS-B-ID-67-T-ID-2] [Persec 1.3 TS-B-ID-67-T-ID-3] [Oil 1 TS-B-ID-67-T-ID-4] [Oil -2 TS-B-ID-67-T-ID-5] [Oil -1.5 TS-B-ID-67-T-ID-6]],0
basic-agents,B-ID-68,[[Oil -1 TS-B-ID-68-T-ID-1] [Trade 2 TS-B-ID-68-T-ID-2] [Persec 1.3 TS-B-ID-68-T-ID-3] [Oil 1 TS-B-ID-68-T-ID-4] [Oil -2 TS-B-ID-68-T-ID-5] [Oil -1.5 TS-B-ID-68-T-ID-6]],0
basic-agents,B-ID-69,[[Oil -1 TS-B-ID-69-T-ID-1] [Trade 2 TS-B-ID-69-T-ID-2] [Persec 1.3 TS-B-ID-69-T-ID-3] [Oil 1 TS-B-ID-69-T-ID-4] [Oil -2 TS-B-ID-69-T-ID-5] [Oil -1.5 TS-B-ID-69-T-ID-6]],0
basic-agents,B-ID-70,[[Oil -1 TS-B-ID-70-T-ID-1] [Trade 2 TS-B-ID-70-T-ID-2] [Persec 1.3 TS-B-ID-70-T-ID-3] [Oil 1 TS-B-ID-70-T-ID-4] [Oil -2 TS-B-ID-70-T-ID-5] [Oil -1.5 TS-B-ID-70-T-ID-6]],0
basic-agents,B-ID-71,[[Oil -1 TS-B-ID-71-T-ID-1] [Trade 2 TS-B-ID-71-T-ID-2] [Persec 1.3 TS-B-ID-71-T-ID-3] [Oil 1 TS-B-ID-71-T-ID-4] [Oil -2 TS-B-ID-71-T-ID-5] [Oil -1.5 TS-B-ID-71-T-ID-6]],0
basic-agents,B-ID-72,[[Oil -1 TS-B-ID-72-T-ID-1] [Trade 2 TS-B-ID-72-T-ID-2] [Persec 1.3 TS-B-ID-72-T-ID-3] [Oil 1 TS-B-ID-72-T-ID-4] [Oil -2 TS-B-ID-72-T-ID-5] [Oil -1.5 TS-B-ID-72-T-ID-6]],0
basic-agents,B-ID-73,[[Oil -1 TS-B-ID-73-T-ID-1] [Trade 2 TS-B-ID-73-T-ID-2] [Persec 1.3 TS-B-ID-73-T-ID-3] [Oil 1 TS-B-ID-73-T-ID-4] [Oil -2 TS-B-ID-73-T-ID-5] [Oil -1.5 TS-B-ID-73-T-ID-6]],0
basic-agents,B-ID-74,[[Oil -1 TS-B-ID-74-T-ID-1] [Trade 2 TS-B-ID-74-T-ID-2] [Persec 1.3 TS-B-ID-74-T-ID-3] [Oil 1 TS-B-ID-74-T-ID-4] [Oil -2 TS-B-ID-74-T-ID-5] [Oil -1.5 TS-B-ID-74-T-ID-6]],0
basic-agents,B-ID-75,[[Oil -1 TS-B-ID-75-T-ID-1] [Trade 2 TS-B-ID-75-T-ID-2] [Persec 1.3 TS-B-ID-75-T-ID-3] [Oil 1 TS-B-ID-75-T-ID-4] [Oil -2 TS-B-ID-75-T-ID-5] [Oil -1.5 TS-B-ID-75-T-ID-6]],0
basic-agents,B-ID-76,[[Oil -1 TS-B-ID-76-T-ID-1] [Trade 2 TS-B-ID-76-T-ID-2] [Persec 1.3 TS-B-ID-76-T-ID-3] [Oil 1 TS-B-ID-76-T-ID-4] [Oil -2 TS-B-ID-76-T-ID-5] [Oil -1.5 TS-B-ID-76-T-ID-6]],0
basic-agents,B-ID-77,[[Oil -1 TS-B-ID-77-T-ID-1] [Trade 2 TS-B-ID-77-T-ID-2] [Persec 1.3 TS-B-ID-77-T-ID-3] [Oil 1 TS-B-ID-77-T-ID-4] [Oil -2 TS-B-ID-77-T-ID-5] [Oil -1.5 TS-B-ID-77-T-ID-6]],0
basic-agents,B-ID-78,[[Oil -1 TS-B-ID-78-T-ID-1] [Trade 2 TS-B-ID-78-T-ID-2] [Persec 1.3 TS-B-ID-78-T-ID-3] [Oil 1 TS-B-ID-78-T-ID-4] [Oil -2 TS-B-ID-78-T-ID-5] [Oil -1.5 TS-B-ID-78-T-ID-6]],0
basic-agents,B-ID-79,[[Oil -1 TS-B-ID-79-T-ID-1] [Trade 2 TS-B-ID-79-T-ID-2] [Persec 1.3 TS-B-ID-79-T-ID-3] [Oil 1 TS-B-ID-79-T-ID-4] [Oil -2 TS-B-ID-79-T-ID-5] [Oil -1.5 TS-B-ID-79-T-ID-6]],0
basic-agents,B-ID-80,[[Oil -1 TS-B-ID-80-T-ID-1] [Trade 2 TS-B-ID-80-T-ID-2] [Persec 1.3 TS-B-ID-80-T-ID-3] [Oil 1 TS-B-ID-80-T-ID-4] [Oil -2 TS-B-ID-80-T-ID-5] [Oil -1.5 TS-B-ID-80-T-ID-6]],0
basic-agents,B-ID-81,[[Oil -1 TS-B-ID-81-T-ID-1] [Trade 2 TS-B-ID-81-T-ID-2] [Persec 1.3 TS-B-ID-81-T-ID-3] [Oil 1 TS-B-ID-81-T-ID-4] [Oil -2 TS-B-ID-81-T-ID-5] [Oil -1.5 TS-B-ID-81-T-ID-6]],0
basic-agents,B-ID-82,[[Oil -1 TS-B-ID-82-T-ID-1] [Trade 2 TS-B-ID-82-T-ID-2] [Persec 1.3 TS-B-ID-82-T-ID-3] [Oil 1 TS-B-ID-82-T-ID-4] [Oil -2 TS-B-ID-82-T-ID-5] [Oil -1.5 TS-B-ID-82-T-ID-6]],0
basic-agents,B-ID-83,[[Oil -1 TS-B-ID-83-T-ID-1] [Trade 2 TS-B-ID-83-T-ID-2] [Persec 1.3 TS-B-ID-83-T-ID-3] [Oil 1 TS-B-ID-83-T-ID-4] [Oil -2 TS-B-ID-83-T-ID-5] [Oil -1.5 TS-B-ID-83-T-ID-6]],0
basic-agents,B-ID-84,[[Oil -1 TS-B-ID-84-T-ID-1] [Trade 2 TS-B-ID-84-T-ID-2] [Persec 1.3 TS-B-ID-84-T-ID-3] [Oil 1 TS-B-ID-84-T-ID-4] [Oil -2 TS-B-ID-84-T-ID-5] [Oil -1.5 TS-B-ID-84-T-ID-6]],0
